CompACT,HStile,HSGPA,ActionDate,ApplDate,BDt,TotalSAT,Gender,Ethnicity,AcadPlan,zipdisk
0,89,3.49,450,79,11031,1050,F,Hispanic,DPSYC-BA,12.61565729
21,0,0,150,150,11092,1120,M,Hispanic,DGNBU-BBA,9.032902135
0,0,0,395,87,11188,1000,F,Hispanic,DCRJS-BS,8.039662853
22,45,3.44,275,122,11307,1120,F,Hispanic,DCRJS-BS,18.90449676
19,92,3.4,450,124,10817,1110,F,Hispanic,DBIOL-BS,23.34947363
0,96,3.85,450,109,11002,1150,F,Hispanic,DPOLS-BA,10.94098691
15,64,3.38,324,109,11075,960,M,Hispanic,DBIOL-BS,10.20911205
27,44,3.67,396,204,11326,1290,M,Hispanic,DMATH-BA,19.48887532
16,89,3.62,450,122,11144,990,F,Hispanic,DACCT-BBA,22.60129595
22,0,0,396,95,11111,1060,M,Hispanic,DLSCM-BS,13.7111687
12,0,0,141,141,11253,710,F,Hispanic,DBIOL-BS,22.60129595
0,33,3.551,450,218,11263,1060,F,Hispanic,DUNDECIDED,22.53429534
0,0,0,243,243,11260,990,F,Hispanic,DHPMGT-BBA,5.009297949
0,0,0,396,137,10962,1120,F,Hispanic,DCDFS-BS,10.95784155
12,25,3.25,450,137,10973,810,M,Hispanic,DCRJS-BS,23.61407614
13,0,0,269,269,11225,0,M,African American,DBUND,259.8265943
23,0,0,123,123,11128,1140,M,Hispanic,DBIOL-BA,269.2377547
15,0,0,75,75,11162,1010,M,African American,DSOCI-BA,259.8265943
17,74,3.608,450,151,10774,980,M,Hispanic,DACCT-BBA,23.61407614
19,0,0,107,107,10964,950,M,Hispanic,DCSIT-BA,23.61407614
18,93,3.569,450,317,11218,1010,F,Hispanic,DPOLS-BA,23.61407614
0,95,4.66,324,318,11093,910,F,African American,DCRJS-BS,6.070851259
0,89,3.595,450,121,11058,910,F,Hispanic,DPBHLTH-BA,16.0399783
0,0,0,74,74,11278,830,M,African American,DPBHLTH-BA,481.0975087
0,0,0,172,172,11241,900,F,African American,DHROB-BBA,35.43677286
0,0,0,121,121,11353,1210,F,African American,DBIOL-BA,22.95013916
18,98,3.675,275,88,11252,1100,M,Hispanic,DCSIT-BA,0
19,80,3.51,450,169,10964,1000,F,Hispanic,DPBHLTH-BA,22.60129595
27,69,3.555,396,155,10966,1130,M,White,DPBHLTH-BA,26.39824019
0,0,0,450,116,11276,1160,F,Hispanic,DBIOL-BS,22.53429534
23,54,3.32,450,193,11040,1010,M,Hispanic,DBIOL-BA,26.39824019
21,83,3.541,295,268,11292,1130,M,African American,DLSCM-BS,10.20911205
0,0,0,100,100,11182,830,M,Hispanic,DHPMGT-BBA,0
17,21,3.494,450,303,11013,1010,M,African American,DUNDECIDED,18.72099996
0,0,0,86,86,11155,810,M,African American,DPBHLTH-BA,6.070851259
0,0,0,108,108,11110,920,F,African American,DMATH-BA,6.070851259
0,0,0,155,155,11064,1040,F,African American,DPBHLTH-BA,11.11464643
22,90,3.4,450,113,11247,1190,F,African American,DFINA-BBA,23.34947363
0,0,0,79,79,11119,820,M,Hispanic,DUNDECIDED,13.52570037
19,29,3.493,396,201,11044,1080,M,Hispanic,DBUND,10.95784155
0,0,3.37,450,150,10984,1290,M,Hispanic,DPBHLTH-BA,12.61565729
0,0,0,290,290,11125,1000,F,Hispanic,DSOCI-BA,23.61407614
14,78,3.537,396,345,11100,820,F,Hispanic,DPBHLTH-BS,22.60129595
