CompACT,HStile,HSGPA,ActionDate,ApplDate,BDt,TotalSAT,Gender,Ethnicity,AcadPlan,zipdisk
0,79,3.39,450,100,10957,980,F,Hispanic,DHSML-BS,12.61565729
0,0,0,100,100,11217,0,F,Hispanic,DPSYC-BA,399.2991968
13,55,3.36,396,100,10923,790,F,Hispanic,DPBHLTH-BA,5.491657246
0,0,0,100,100,11053,0,F,Hispanic,DACCT-BBA,11.61455638
21,69,3.52,396,151,11023,1170,M,Hispanic,DFINA-BBA,13.52570037
21,66,3.462,288,151,10951,1100,M,Hispanic,DCSIT-BA,6.070851259
13,49,3.41,141,141,11341,780,M,Hispanic,DCRJS-BS,12.61565729
21,0,0,198,198,11200,1130,M,Hispanic,DINDE-BS,8.039662853
13,73,3.412,396,141,10977,880,F,Asian,DBIOL-BS,22.95013916
0,76,3.37,450,137,11171,870,F,Hispanic,DBUND,11.61455638
0,0,0,212,212,10811,0,M,Hispanic,DUNDECIDED,14.64597377
0,0,0,135,135,10740,970,M,African American,DGNBU-BBA,0
14,76,3.22,450,199,11010,890,F,Hispanic,DCRJS-BS,10.95784155
22,39,3.12,241,241,11153,0,F,Hispanic,DCDFS-BS,481.6559471
14,0,0,344,101,11275,0,M,White,DFINA-BBA,20.23281026
17,55,2.99,450,101,11051,0,F,Hispanic,DBIOL-BS,341.0186162
0,0,0,101,101,11255,0,F,Hispanic,DSOCI-BA,10.94098691
0,0,0,101,101,11144,0,M,Hispanic,DCRJS-BS,12.61565729
12,38,3.26,450,101,11095,850,F,Hispanic,DCRJS-BS,12.61565729
13,0,0,101,101,11064,0,F,Hispanic,DPBHLTH-BA,12.61565729
0,0,0,101,101,11216,0,M,Hispanic,DGNBU-BBA,10.94098691
0,0,0,101,101,11180,0,F,Hispanic,DCDFS-BS,12.61565729
20,0,3.28,450,101,10967,0,F,Asian,DACCT-BBA,29.36977079
0,68,3.48,101,101,10999,920,F,Hispanic,DBUND,10.95784155
0,0,0,101,101,10907,0,F,Hispanic,DSOCI-BA,409.2973523
0,0,0,101,101,11255,0,M,Hispanic,DMATH-BA,12.61565729
13,37,3.35,450,101,11151,830,F,Hispanic,DCRJS-BS,10.94098691
12,0,0,101,101,11089,0,M,Hispanic,DCRJS-BS,12.61565729
0,0,0,101,101,11279,0,M,Hispanic,DPBHLTH-BA,9.55652232
0,0,0,101,101,11008,0,M,Hispanic,DGNBU-BBA,12.61565729
0,84,3.574,450,101,11073,1020,M,Hispanic,DGNBU-BBA,18.90449676
0,71,3.47,396,101,11175,980,F,Hispanic,DPBHLTH-BA,6.070851259
0,37,3.29,450,101,11033,990,F,Hispanic,DHPMGT-BBA,19.48887532
0,0,0,101,101,10744,0,M,Hispanic,DPBHLTH-BS,12.61565729
0,0,0,101,101,11311,0,F,Hispanic,DPSYC-BA,12.61565729
0,77,3.367,450,101,11115,1020,M,Hispanic,DMATH-BA,12.61565729
0,0,0,101,101,10972,0,M,Hispanic,DCOMM-BA,12.61565729
14,0,0,101,101,10810,0,M,Hispanic,DCRJS-BS,10.94098691
10,0,0,101,101,10648,0,M,Hispanic,DCRJS-BS,12.61565729
14,62,3.411,101,101,11284,780,F,Hispanic,DGNBU-BBA,0
18,0,0,101,101,10862,0,F,Hispanic,DBIOL-BS,12.61565729
16,52,3.41,101,101,10958,890,F,Hispanic,DPSYC-BA,12.61565729
18,62,3.055,450,101,11161,0,F,African American,DGNBU-BBA,364.9913481
17,0,0,101,101,11131,0,M,Hispanic,DCRJS-BS,12.61565729
14,42,3.33,101,101,11167,830,M,Hispanic,DGNBU-BBA,6.602595536
11,0,0,101,101,10755,0,M,Hispanic,DHPMGT-BBA,10.94098691
15,0,0,101,101,10954,0,M,Hispanic,DCRJS-BS,12.61565729
22,0,3.06,450,101,10957,0,F,Hispanic,DBIOL-BA,719.392954
14,0,0,101,101,10897,0,F,Hispanic,DMATH-BA,12.61565729
22,0,0,101,101,11203,1000,F,Hispanic,DBUND,13.5874111
0,69,3.43,450,101,10994,910,F,Hispanic,DHSML-BS,12.61565729
0,0,0,101,101,9888,0,F,Asian,DBIOL-BS,22.95013916
0,93,3.49,450,101,11269,1020,M,Hispanic,DPOLS-BA,12.61565729
18,89,3.42,450,101,11118,0,M,African American,DCSIT-BA,11.61455638
0,0,0,101,101,11047,0,M,White,DCSIT-BA,733.4877955
0,40,3.31,450,101,11139,720,F,Hispanic,DPSYC-BA,10.94098691
18,0,0,450,101,11276,990,F,Hispanic,DPBHLTH-BA,12.61565729
0,72,3.586,101,101,11089,840,F,Hispanic,DMATH-BA,12.61565729
0,0,0,101,101,10973,950,F,Hispanic,DBIOL-BS,8.039662853
0,0,0,101,101,11020,0,M,Hispanic,DMATH-BA,12.61565729
0,0,0,101,101,11022,0,F,Hispanic,DBUND,396.2855472
0,47,3.459,450,101,11115,1200,F,Asian,DBIOL-BS,44.17320894
18,0,0,120,120,11097,0,F,Hispanic,DCRJS-BS,13.52570037
0,0,0,109,109,11291,1080,F,African American,DPSYC-BA,51.28986185
0,0,0,117,117,10631,0,M,White,DMATH-BA,333.837829
16,92,3.63,275,152,11035,1000,F,Hispanic,DBIOL-BS,13.7111687
15,0,0,103,103,11038,0,M,Hispanic,DBUND,12.61565729
18,0,0,268,136,11018,0,M,African American,DUNDECIDED,364.878568
0,0,0,102,102,11219,1200,F,African American,DBIOL-BS,21.5011663
25,0,3.76,217,102,11238,0,F,Asian,DGNBU-BBA,42.5121046
0,0,0,306,102,11519,1130,F,African American,DINDE-BS,205.5189391
0,57,3.334,396,102,11299,980,M,Hispanic,DCOMM-BA,0
17,16,3.498,275,102,10802,1010,M,Hispanic,DINDE-BS,10.94098691
0,0,0,102,102,10949,0,M,African American,DCSIT-BA,10.95784155
19,99,3.73,396,102,10973,1060,F,Hispanic,DBUND,13.7111687
0,0,0,102,102,10972,1000,F,White,DPOLS-BA,374.4214895
0,46,2.95,102,102,11143,970,F,Not Available,DGNBU-BBA,19.48887532
0,63,3.3,288,102,11102,1130,F,Hispanic,DBUND,5.009297949
0,0,0,102,102,11067,0,F,African American,DCRJS-BS,30.81095615
15,0,0,102,102,11091,920,M,Hispanic,DGNBU-BBA,15.41027165
0,0,0,102,102,11006,1060,M,Hispanic,DBUND,10.95784155
10,89,2.47,102,102,11311,0,M,African American,DCSIT-BA,8.948177454
0,73,3.306,102,102,11032,0,M,Hispanic,DUNDECIDED,56.14403982
21,89,3.72,450,102,11068,1130,F,American Indian,DCRJS-BS,24.76618552
18,0,2.76,450,102,10889,850,F,Hispanic,DBIOL-BS,23.61407614
9,0,0,102,102,10908,930,F,Asian,DUNDECIDED,22.95013916
0,0,0,102,102,11166,920,M,Hispanic,DCSIT-BA,22.95013916
0,24,3.733,396,102,11008,1160,F,African American,DBIOL-BS,10.95784155
0,0,0,102,102,11056,0,M,Hispanic,DCSIT-BA,268.2763649
0,12,3.28,450,102,11295,1000,F,African American,DCRJS-BS,0
14,19,3.11,368,102,11124,710,M,African American,DCOMM-BA,0
0,90,3.57,396,102,11047,960,F,African American,DPBHLTH-BS,10.95784155
13,74,3.49,450,102,11275,900,M,Hispanic,DCSIT-BA,12.61565729
0,0,0,102,102,11284,0,F,Hispanic,DPBHLTH-BA,269.2377547
0,22,3.348,302,102,11294,910,F,Hispanic,DPBHLTH-BS,8.039662853
20,77,3.98,275,103,11034,1010,F,Hispanic,DBIOL-BS,0
17,80,3.098,450,141,11220,0,M,Hispanic,DGNBU-BBA,15.9239836
21,0,0,128,128,11003,1270,M,African American,DBIOL-BS,31.71664784
0,15,2.61,298,137,10925,930,F,Hispanic,DUNDECIDED,33.02714606
0,26,3.149,397,150,11226,770,F,African American,DCDFS-BS,10.95784155
0,46,3.214,408,382,11221,0,M,Hispanic,DBIOL-BA,9.96010621
15,95,3.551,275,103,11144,1030,F,Hispanic,DPSYC-BA,13.52570037
21,0,2.92,450,103,11031,0,M,Hispanic,DCSIT-BA,734.5984484
15,88,3.615,275,103,11153,890,F,Hispanic,DINDE-BS,12.61565729
0,0,0,103,103,11086,0,M,Hispanic,DMATH-BA,12.61565729
13,0,0,103,103,11306,0,M,Hispanic,DBUND,12.61565729
0,0,0,103,103,11271,0,F,Hispanic,DBIOL-BS,8.039662853
0,0,0,103,103,10718,1070,M,Hispanic,DPBHLTH-BA,732.8927574
0,0,0,103,103,11051,0,F,African American,DUNDECIDED,22.53429534
0,68,3.36,396,103,11312,1170,M,African American,DPOLS-BA,18.72099996
14,48,3.372,450,103,11121,770,F,Hispanic,DGNBU-BBA,12.61565729
17,84,3.53,360,103,10957,930,M,Hispanic,DCOMM-BA,19.48887532
0,0,0,103,103,11156,0,F,Hispanic,DPBHLTH-BA,724.8510498
0,0,0,103,103,11053,1100,F,African American,DPBHLTH-BA,334.7416177
0,46,2.98,275,103,11267,900,F,Hispanic,DPBHLTH-BA,19.48887532
16,28,3.21,408,103,11017,0,M,Hispanic,DCOMM-BA,12.61565729
0,0,0,103,103,10804,0,M,Hispanic,DBUND,12.61565729
0,0,0,103,103,10977,0,M,Hispanic,DGNBU-BBA,10.94098691
21,93,3.468,450,103,10901,1180,F,Hispanic,DPBHLTH-BA,12.61565729
13,0,0,103,103,11238,0,F,Hispanic,DBUND,12.61565729
15,0,0,103,103,11040,0,F,African American,DBIOL-BA,5.491657246
17,0,0,103,103,11101,0,F,Hispanic,DMATH-BA,18.90449676
14,0,0,103,103,11057,0,M,African American,DGNBU-BBA,5.009297949
0,0,0,103,103,11035,0,M,Hispanic,DMATH-BA,12.61565729
12,61,3.21,103,103,10806,670,M,Hispanic,DCRJS-BS,13.7111687
17,0,0,103,103,11258,0,F,Hispanic,DCDFS-BS,9.96010621
14,0,0,103,103,11234,0,F,Hispanic,DMATH-BA,12.61565729
28,98,3.72,450,103,11094,1150,F,Hispanic,DBIOL-BS,9.96010621
23,46,3.66,396,103,11087,1200,F,Hispanic,DHSML-BS,26.39824019
0,0,0,103,103,11209,1110,F,Hispanic,DINDE-BS,12.61565729
16,0,0,103,103,11076,960,M,Hispanic,DGNBU-BBA,12.61565729
0,0,0,103,103,10951,0,F,Hispanic,DBUND,6.070851259
0,0,0,103,103,11178,0,M,Hispanic,DHPMGT-BBA,10.94098691
0,0,0,103,103,11162,0,M,Hispanic,DPSYC-BA,274.7439918
0,0,0,103,103,11285,0,F,Hispanic,DPBHLTH-BA,12.61565729
0,0,0,103,103,11259,0,M,Hispanic,DCRJS-BS,906.0106168
20,0,0,409,382,11233,1110,F,Hispanic,DFINA-BBA,26.20209262
0,5,3.084,282,110,11082,1000,M,Hispanic,DCRJS-BS,23.61407614
14,89,3.453,275,115,11225,840,F,Hispanic,DCRJS-BS,10.95784155
20,0,0,1107,107,10993,1060,M,White,DCRJS-BS,10.94098691
15,0,0,106,106,11170,0,F,Hispanic,DPSYC-BA,10.94098691
14,66,3.57,326,141,11206,920,F,Hispanic,DPBHLTH-BS,9.96010621
14,0,0,106,106,10959,0,M,Hispanic,DGNBU-BBA,6.070851259
0,96,3.61,275,115,11263,1070,F,Hispanic,DBIOL-BS,12.61565729
0,0,0,306,306,11060,1220,M,Hispanic,DFINA-BBA,10.95784155
0,0,0,106,106,10932,0,F,Hispanic,DBIOL-BA,12.61565729
18,70,3.364,275,106,11262,1080,M,African American,DGNBU-BBA,17.079558
0,92,3.678,450,106,11192,980,F,White,DINDE-BS,58.22170192
0,77,3.21,106,106,11309,1120,M,Hispanic,DGNBU-BBA,27.25999507
0,69,3.1,450,106,10439,690,F,Hispanic,DCDFS-BS,24.76618552
0,63,2.627,106,106,11185,0,F,Hispanic,DPSYC-BA,269.2377547
24,94,3.691,396,106,10985,1200,F,Hispanic,DINDE-BS,10.95784155
0,51,2.9,450,106,11346,980,M,Asian,DGNBU-BBA,26.75111795
0,0,0,106,106,11229,0,F,Hispanic,DBIOL-BS,748.9436073
0,0,0,106,106,10957,0,F,African American,DINDE-BS,327.6043017
0,0,0,106,106,11212,0,F,Hispanic,DGNBU-BBA,881.6398393
21,58,3.013,450,106,11285,0,F,African American,DBIOL-BS,345.4197478
17,71,3.292,396,106,11314,0,F,African American,DBIOL-BS,345.8040859
0,0,0,450,106,11484,970,F,Hispanic,DPBHLTH-BA,44.72764867
0,16,3.24,402,106,11308,910,F,Hispanic,DPSYC-BA,0
0,0,0,106,106,11094,1450,F,Asian,DBIOL-BS,44.6177843
0,99,3.964,275,106,11200,1370,M,Hispanic,DACCT-BBA,35.43677286
0,83,3.66,106,106,10800,810,M,Hispanic,DCOMM-BA,10.94098691
0,69,3.53,450,106,11339,1060,F,African American,DPBHLTH-BA,10.95784155
0,19,2.1,450,106,11232,1010,M,African American,DCSIT-BA,63.14976375
0,0,0,106,106,11111,0,M,African American,DCSIT-BA,31.20421111
14,73,3.63,450,106,11100,730,F,African American,DPOLS-BA,11.11464643
20,27,3.55,450,204,11191,1080,F,Hispanic,DUNDECIDED,19.48887532
17,0,0,365,156,11067,950,M,Hispanic,DBUND,16.0399783
0,36,2.8,417,312,11230,790,F,African American,DCDFS-BS,46.75188831
0,0,0,117,117,10702,1270,F,Hispanic,DBIOL-BS,38.36008648
0,0,2.77,450,162,11278,1030,M,Hispanic,DPSYC-BA,10.95784155
21,92,3.572,450,109,11269,1140,M,Hispanic,DGNBU-BBA,12.61565729
0,69,3.91,450,107,11143,1200,F,Asian,DBIOL-BA,37.24843994
0,0,0,107,107,11029,0,F,Hispanic,DCRJS-BS,336.5178234
0,0,0,107,107,11021,0,F,Hispanic,DUNDECIDED,259.8265943
0,93,3.91,107,107,11078,0,F,Hispanic,DPBHLTH-BA,9.55652232
0,0,0,107,107,11260,1240,F,Hispanic,DCSIT-BA,40.80586567
0,0,3.485,316,107,11206,1020,F,Hispanic,DPSYC-BA,34.0603439
19,81,3.431,450,107,10483,0,M,African American,DUNDECIDED,346.615345
0,58,3.48,275,107,11183,830,F,Hispanic,DINDE-BS,8.039662853
0,89,3.842,396,107,11301,1210,F,Hispanic,DUNDECIDED,5.009297949
19,96,3.59,450,107,11273,1070,M,Asian,DCOMM-BA,15.41027165
14,0,2.66,450,107,11209,0,F,Hispanic,DPSYC-BA,732.8927574
0,0,0,107,107,11159,0,F,Hispanic,DPBHLTH-BA,754.1394822
0,0,0,107,107,10966,0,F,African American,DBIOL-BA,10.20911205
0,0,0,107,107,10998,0,M,Hispanic,DPOLS-BA,15.41027165
15,45,3.31,397,107,11003,820,F,African American,DCDFS-BS,8.039662853
22,0,0,107,107,11067,1070,F,Hispanic,DPSYC-BA,24.76618552
16,85,3.593,450,107,11192,1010,M,Hispanic,DMATH-BA,22.60129595
0,0,0,107,107,11003,1130,F,White,DCOMM-BA,49.74265719
0,95,3.67,450,151,11022,0,F,Hispanic,DPBHLTH-BA,13.52570037
0,38,3.391,450,122,11094,1120,F,Hispanic,DCDFS-BS,12.61565729
19,42,3.48,450,117,11086,1120,F,Hispanic,DSOCI-BA,10.94098691
0,79,3.48,450,108,11210,860,F,Hispanic,DCRJS-BS,9.96010621
15,0,0,109,109,10970,0,F,Hispanic,DBUND,26.75111795
13,19,2.86,372,220,10957,780,F,Hispanic,DCOMM-BA,26.75111795
0,88,3.24,108,108,10953,0,M,Hispanic,DCDFS-BS,26.49675446
0,0,0,108,108,11118,0,M,African American,DCDFS-BS,46.01228595
0,35,2.75,414,108,11103,850,F,Hispanic,DCDFS-BS,23.34947363
0,19,2.409,108,108,10967,0,F,White,DPSYC-BA,23.34947363
0,0,0,108,108,10984,980,F,Hispanic,DCRJS-BS,402.7814382
16,0,0,303,108,10997,950,M,African American,DBUND,16.0399783
18,79,3.457,450,108,11076,910,F,African American,DBIOL-BA,0
0,0,3.619,108,108,10982,0,F,Hispanic,DCRJS-BS,276.9146175
13,89,3.53,450,108,11062,0,F,African American,DBIOL-BS,51.56014338
14,0,0,108,108,11029,0,F,Hispanic,DLSCM-BS,8.039662853
0,0,0,108,108,10999,980,F,Hispanic,DGNBU-BBA,35.87647954
19,0,0,450,108,11105,980,F,Hispanic,DBUND,14.64597377
0,0,0,108,108,11312,890,F,Hispanic,DPSYC-BA,290.7060255
0,0,0,108,108,11267,0,M,Hispanic,DUNDECIDED,13.7111687
15,65,3.48,450,108,11099,860,M,Hispanic,DCRJS-BS,15.41027165
16,37,3.2,450,108,11052,920,F,Hispanic,DLSCM-BS,12.61565729
11,50,3.46,351,284,10778,670,F,Hispanic,DCOMM-BA,15.41027165
11,50,3.46,414,108,10778,670,F,Hispanic,DCDFS-BS,15.41027165
16,74,2.96,450,108,11053,900,F,Hispanic,DUNDECIDED,10.95784155
20,45,3.29,450,135,10941,1010,M,Asian,DCOMM-BA,37.24843994
17,0,0,450,247,10971,1030,M,African American,DCSIT-BA,6.602595536
15,0,0,292,292,11226,1050,F,Hispanic,DHPMGT-BBA,12.61565729
0,76,3.847,450,201,11252,1330,F,Hispanic,DBUND,15.9239836
0,40,3.28,450,184,11170,1050,M,Hispanic,DCSIT-BA,8.039662853
0,0,0,156,134,11074,1190,M,Hispanic,DBIOL-BA,22.49820842
0,85,3.54,339,339,11169,980,F,Hispanic,DPSYC-BA,15.41027165
0,84,3.7,396,150,11260,1140,F,Hispanic,DACCT-BBA,30.32475368
19,45,3.32,275,109,11242,1010,M,Hispanic,DBIOL-BS,13.52570037
0,0,0,109,109,11477,1270,F,American Indian,DBIOL-BS,317.1958976
17,87,3.64,450,109,10323,960,M,Hispanic,DCSIT-BA,0
0,0,0,109,109,10970,0,F,African American,DPSYC-BA,208.6223439
0,23,3.292,450,109,11110,890,F,Hispanic,DCDFS-BS,23.61407614
18,0,2.83,450,109,11104,1000,F,Hispanic,DCDFS-BS,29.46979202
0,0,0,109,109,10962,0,M,Hispanic,DFINA-BBA,22.60129595
16,42,3.621,109,109,11176,930,M,Hispanic,DCOMM-BA,15.41027165
13,28,3.186,396,109,11300,770,F,Hispanic,DFINA-BBA,12.61565729
0,0,0,109,109,11170,1190,M,Hispanic,DUNDECIDED,368.7347635
16,38,2.716,393,109,10688,0,M,Hispanic,DCOMM-BA,341.0186162
0,3,3.18,450,109,10976,970,F,African American,DPBHLTH-BA,9.032902135
13,90,3.654,450,109,11239,980,F,Hispanic,DCRJS-BS,15.41027165
0,81,3.283,344,109,11308,850,F,African American,DPBHLTH-BS,5.009297949
0,19,3.266,358,109,11228,800,F,African American,DPOLS-BA,10.95784155
0,0,0,109,109,10731,0,F,Hispanic,DCRJS-BS,12.61565729
14,0,2.32,414,109,10715,0,M,African American,DMATH-BA,13.5874111
0,0,0,109,109,11179,0,M,Hispanic,DUNDECIDED,16.59289334
0,0,0,109,109,11063,0,F,African American,DBIOL-BS,15.9239836
0,0,0,109,109,11090,0,F,African American,DPBHLTH-BA,0
0,0,0,109,109,10956,0,M,African American,DGNBU-BBA,8.948177454
0,0,0,109,109,10752,0,F,Hispanic,DCRJS-BS,34.0603439
13,0,0,109,109,10663,0,M,African American,DGNBU-BBA,21.19063763
0,0,0,109,109,10951,0,F,African American,DHROB-BBA,11.11464643
0,0,0,109,109,10246,0,F,Hispanic,DHPMGT-BBA,20.53480885
0,0,0,109,109,10805,0,M,African American,DSOCI-BA,26.20209262
0,0,0,109,109,10987,0,F,Asian,DBUND,20.53480885
0,0,0,109,109,11190,0,M,Hispanic,DCOMM-BA,16.3561459
0,0,0,109,109,10812,0,F,African American,DUNDECIDED,0
0,0,0,109,109,10694,0,F,Hispanic,DCRJS-BS,26.39824019
0,0,0,109,109,10877,0,M,Hispanic,DCRJS-BS,14.64597377
0,0,0,109,109,10917,0,F,Hispanic,DUNDECIDED,10.20911205
0,0,0,109,109,10930,0,M,Hispanic,DGNBU-BBA,19.48887532
0,0,0,109,109,11345,0,F,Hispanic,DGNBU-BBA,12.75836634
0,0,0,109,109,10652,0,F,African American,DBIOL-BA,40.965029
0,0,0,109,109,11551,0,F,African American,DBIOL-BS,14.64597377
11,0,2.397,393,109,10600,0,F,Hispanic,DCRJS-BS,23.61407614
0,0,0,109,109,10393,0,M,Hispanic,DBIOL-BS,30.00625461
0,0,0,109,109,11214,0,F,White,DPBHLTH-BA,28.77713474
0,55,2.81,348,109,11166,1230,F,African American,DPBHLTH-BA,26.39824019
16,0,0,109,109,11430,0,F,African American,DPSYC-BA,11.59583235
0,0,0,109,109,10709,0,M,African American,DPBHLTH-BA,13.7111687
13,32,3.264,396,109,11038,770,F,Hispanic,DCRJS-BS,12.61565729
0,0,0,109,109,10750,0,M,Hispanic,DCOMM-BA,9.55652232
0,25,3.242,109,109,11124,0,M,Hispanic,DCSIT-BA,15.41027165
18,53,3.36,450,109,11085,870,M,Hispanic,DGNBU-BBA,12.61565729
0,0,0,109,109,11191,0,F,Hispanic,DBIOL-BS,269.2377547
0,0,0,109,109,11260,0,M,Hispanic,DBUND,22.95013916
0,0,0,109,109,10897,0,M,Hispanic,DSOCI-BA,46.01228595
17,31,3.31,450,270,11198,1030,F,Hispanic,DACCT-BBA,10.94098691
0,0,0,243,243,11223,890,F,White,DACCT-BBA,41.21805566
21,0,0,211,211,11221,1190,F,Hispanic,DINDE-BS,13.52570037
14,0,0,260,260,11619,820,F,Asian,DBIOL-BA,30.00311309
0,19,3.15,340,110,11231,940,F,Hispanic,DCRJS-BS,21.19063763
0,0,0,110,110,11086,1170,F,Hispanic,DBIOL-BS,925.1618385
0,85,3.371,450,110,11185,1030,F,Hispanic,DCOMM-BA,12.61565729
19,64,3.39,275,110,11032,1080,F,Hispanic,DGNBU-BBA,5.009297949
11,9,2.88,393,110,11149,740,F,African American,DSOCI-BA,6.070851259
16,18,3.143,394,110,11155,820,F,African American,DCDFS-BS,15.41027165
0,96,3.69,275,110,11111,1030,F,Hispanic,DUNDECIDED,20.53480885
18,82,3.56,450,110,11091,1040,F,Hispanic,DCSIT-BA,5.009297949
0,91,3.623,396,110,11287,1020,F,Hispanic,DCDFS-BS,10.95784155
0,57,3.38,450,110,11118,1060,F,Hispanic,DPSYC-BA,30.32475368
0,0,0,110,110,11330,0,M,Hispanic,DCOMM-BA,19.48887532
22,69,3.392,275,110,11100,1110,M,Hispanic,DCSIT-BA,5.009297949
15,0,0,110,110,11038,0,F,White,DUNDECIDED,950.1347511
0,0,0,110,110,11040,1120,M,Hispanic,DCOMM-BA,313.6660259
0,91,3.6,256,110,11130,970,F,African American,DBIOL-BS,46.01228595
0,0,0,110,110,11305,0,M,Hispanic,DPBHLTH-BS,22.95013916
0,0,0,110,110,10910,0,M,African American,DCSIT-BA,46.01228595
0,0,0,110,110,10928,0,M,White,DGNBU-BBA,27.25999507
14,52,3.368,397,110,10788,780,M,Hispanic,DGNBU-BBA,12.61565729
0,87,3.43,275,110,11119,1020,F,Hispanic,DUNDECIDED,6.070851259
0,0,0,110,110,11067,0,M,Hispanic,DCSIT-BA,11.59583235
0,43,3.05,450,110,11025,850,M,African American,DCOMM-BA,16.0399783
0,0,0,110,110,10822,1140,M,White,DBIOL-BS,48.4975744
0,0,0,110,110,11208,0,F,Hispanic,DBIOL-BA,46.82956653
0,93,3.71,450,110,11176,990,F,Hispanic,DCOMM-BA,46.82956653
0,0,0,110,110,11040,0,M,Hispanic,DCRJS-BS,280.476679
0,35,3.3,397,110,11260,740,M,Hispanic,DFINA-BBA,23.61407614
0,0,0,110,110,11018,0,M,Hispanic,DACCT-BBA,902.2562012
0,0,0,110,110,11167,0,F,Hispanic,DPBHLTH-BA,637.4043676
0,0,0,110,110,10836,0,M,Hispanic,DCSIT-BA,637.4043676
20,79,3.45,275,110,11288,1080,F,Hispanic,DCDFS-BS,9.032902135
12,46,2.987,450,110,11003,1000,M,Hispanic,DGNBU-BBA,22.60129595
0,0,0,110,110,10965,0,F,Hispanic,DPBHLTH-BA,10.20911205
0,90,3.5,450,113,11142,1040,F,African American,DGNBU-BBA,35.43677286
19,9,3.41,275,185,11010,1270,M,Hispanic,DCSIT-BA,12.61565729
11,0,0,239,239,11153,950,F,African American,DPSYC-BA,11.59583235
18,13,3.477,358,312,11180,0,M,Hispanic,DBIOL-BS,12.61565729
18,61,3.36,450,152,11083,1010,M,Hispanic,DACCT-BBA,10.95784155
0,0,0,123,123,11003,1040,M,Hispanic,DACCT-BBA,637.4043676
23,95,3.6,450,115,11285,1100,F,Hispanic,DPSYC-BA,12.61565729
25,96,3.68,396,151,11390,1300,M,Hispanic,DBIOL-BS,9.55652232
0,34,3.37,450,121,11032,1020,M,African American,DPOLS-BA,13.7111687
0,51,3.254,450,269,11174,870,M,Hispanic,DCSIT-BA,19.48887532
0,67,3.3,113,113,11199,920,F,Hispanic,DCRJS-BS,56.55646295
17,82,3.26,450,204,11243,960,F,Hispanic,DBUND,22.49820842
13,0,0,204,204,10773,830,F,Hispanic,DCDFS-BS,22.49820842
14,54,2.69,450,159,11037,930,F,Hispanic,DPBHLTH-BA,22.49820842
0,60,3.48,128,128,10739,770,M,Hispanic,DGNBU-BBA,23.61407614
0,28,2.75,275,113,11264,1040,F,Hispanic,DCDFS-BS,34.1995828
0,0,0,113,113,10993,870,F,Hispanic,DCRJS-BS,295.869677
0,50,2.79,344,113,11250,920,M,Hispanic,DUNDECIDED,30.75245367
16,0,2.68,396,113,11083,0,F,African American,DHROB-BBA,46.01228595
0,0,0,113,113,10739,770,F,African American,DCDFS-BS,34.86591074
0,0,0,113,113,11110,0,M,Hispanic,DCRJS-BS,637.4043676
0,0,0,113,113,11116,1100,M,Hispanic,DPBHLTH-BA,545.9477607
0,45,3.01,113,113,11156,0,M,Hispanic,DBUND,19.05071384
0,0,0,113,113,11249,0,F,Hispanic,DBIOL-BS,637.4043676
19,80,3.84,450,113,11086,1040,M,African American,DCSIT-BA,33.91981323
16,78,3.427,450,113,11115,1040,F,Hispanic,DCSIT-BA,19.48887532
0,93,3.69,113,113,11146,0,F,Hispanic,DPBHLTH-BA,32.96684089
0,70,2.986,113,113,11254,0,F,Hispanic,DPSYC-BA,551.0294043
0,0,0,395,113,11066,0,F,Asian,DINDE-BS,31.71664784
0,0,0,113,113,11109,0,F,Hispanic,DCRJS-BS,19.48887532
0,92,3.71,450,113,11106,930,F,Hispanic,DBIOL-BS,361.9258492
0,0,0,113,113,10998,0,F,Hispanic,DSOCI-BA,132.0082617
14,35,3.12,302,136,11173,920,M,Hispanic,DPSYC-BA,0
27,0,0,365,204,11188,1240,F,African American,DPBHLTH-BA,18.72099996
0,0,0,190,190,10969,990,M,Hispanic,DBUND,387.3772064
0,0,0,137,137,11044,1160,M,African American,DPSYC-BA,9.96010621
22,0,0,304,304,11012,1090,M,Hispanic,DBUND,12.61565729
0,0,0,114,114,11304,0,M,African American,DBIOL-BA,186.789071
0,90,3.643,450,114,11276,1070,F,Hispanic,DBIOL-BA,19.48887532
0,0,0,114,114,10980,1350,F,Asian,DPBHLTH-BA,51.28986185
18,22,3.407,311,114,11022,960,M,Hispanic,DMATH-BA,12.61565729
0,0,0,114,114,11364,1120,M,Hispanic,DCSIT-BA,355.3226214
0,70,3.632,275,114,11297,0,M,Hispanic,DCOMM-BA,13.7111687
0,67,3.11,114,114,10970,0,F,African American,DBUND,42.51968795
17,43,2.718,450,114,11124,820,F,Hispanic,DCRJS-BS,399.760221
0,0,0,114,114,10996,0,F,Hispanic,DBUND,0
13,83,3.44,450,114,11168,1180,M,Hispanic,DGNBU-BBA,19.48887532
0,0,0,114,114,10243,0,F,African American,DPBHLTH-BA,351.791491
0,0,0,114,114,11057,0,M,Hispanic,DGNBU-BBA,334.7416177
20,56,3.16,114,114,11146,0,F,Hispanic,DPOLS-BA,710.8028384
0,79,3.36,114,114,10903,860,F,Hispanic,DGNBU-BBA,24.76618552
18,82,3.42,450,114,11141,890,F,Hispanic,DPSYC-BA,5.009297949
0,0,0,450,114,11125,900,F,Hispanic,DCOMM-BA,5.009297949
16,0,0,450,124,10662,1150,F,White,DPOLS-BA,22.53429534
